champId,ADC_appearances,ADC_winrate,ADC_wins,JUNGLE_appearances,JUNGLE_winrate,JUNGLE_wins,MIDDLE_appearances,MIDDLE_winrate,MIDDLE_wins,SUPPORT_appearances,SUPPORT_winrate,SUPPORT_wins,TOP_appearances,TOP_winrate,TOP_wins
1,26.0,0.5769230769230769,15.0,2.0,1.0,2.0,856.0,0.5560747663551402,476.0,42.0,0.40476190476190477,17.0,82.0,0.5365853658536586,44.0
2,27.0,0.5185185185185185,14.0,2798.0,0.5150107219442459,1441.0,41.0,0.36585365853658536,15.0,1.0,1.0,1.0,600.0,0.515,309.0
3,19.0,0.5263157894736842,10.0,8.0,0.375,3.0,5680.0,0.5308098591549296,3015.0,732.0,0.5136612021857924,376.0,126.0,0.5952380952380952,75.0
4,2.0,0.5,1.0,1.0,0.0,0.0,4164.0,0.5002401536983669,2083.0,5.0,0.4,2.0,32.0,0.4375,14.0
5,,,,454.0,0.5176211453744494,235.0,8.0,0.75,6.0,,,,6.0,0.5,3.0
6,,,,5.0,0.6,3.0,49.0,0.5714285714285714,28.0,,,,1663.0,0.5147324113048707,856.0
7,3.0,0.3333333333333333,1.0,,,,3180.0,0.480188679245283,1527.0,4.0,0.25,1.0,20.0,0.55,11.0
8,35.0,0.4857142857142857,17.0,2.0,0.0,0.0,1071.0,0.4957983193277311,531.0,2.0,0.0,0.0,1957.0,0.5002554931016863,979.0
9,,,,1463.0,0.530416951469583,776.0,22.0,0.5454545454545454,12.0,259.0,0.4517374517374517,117.0,5.0,0.4,2.0
10,2.0,0.5,1.0,,,,76.0,0.5263157894736842,40.0,20.0,0.5,10.0,598.0,0.45819397993311034,274.0
11,3.0,0.6666666666666666,2.0,552.0,0.48731884057971014,269.0,134.0,0.417910447761194,56.0,4.0,0.25,1.0,31.0,0.3548387096774194,11.0
12,1.0,0.0,0.0,,,,1.0,0.0,0.0,2145.0,0.517948717948718,1111.0,,,
13,4.0,0.5,2.0,,,,1093.0,0.505946935041171,553.0,,,,290.0,0.5103448275862069,148.0
14,2.0,0.0,0.0,,,,67.0,0.5373134328358209,36.0,95.0,0.4842105263157895,46.0,1132.0,0.4708480565371025,533.0
15,943.0,0.46553552492046657,439.0,,,,1.0,0.0,0.0,,,,1.0,0.0,0.0
16,48.0,0.4791666666666667,23.0,,,,38.0,0.47368421052631576,18.0,2491.0,0.5050180650341228,1258.0,67.0,0.43283582089552236,29.0
17,5.0,0.4,2.0,16.0,0.5625,9.0,42.0,0.40476190476190477,17.0,30.0,0.4,12.0,669.0,0.5321375186846039,356.0
18,1987.0,0.4841469552088576,962.0,12.0,0.5833333333333334,7.0,416.0,0.4879807692307692,203.0,,,,103.0,0.5339805825242718,55.0
19,1.0,1.0,1.0,495.0,0.49696969696969695,246.0,42.0,0.5476190476190477,23.0,,,,161.0,0.515527950310559,83.0
20,6.0,0.5,3.0,2444.0,0.5180032733224222,1266.0,499.0,0.5250501002004008,262.0,25.0,0.4,10.0,27.0,0.48148148148148145,13.0
21,2172.0,0.48250460405156537,1048.0,,,,6.0,0.16666666666666666,1.0,28.0,0.4642857142857143,13.0,1.0,1.0,1.0
22,16385.0,0.517424473603906,8478.0,,,,6.0,0.5,3.0,26.0,0.5384615384615384,14.0,1.0,1.0,1.0
23,23.0,0.34782608695652173,8.0,16.0,0.625,10.0,343.0,0.46647230320699706,160.0,2.0,0.5,1.0,2076.0,0.5086705202312138,1056.0
24,8.0,0.5,4.0,181.0,0.4585635359116022,83.0,104.0,0.4807692307692308,50.0,2.0,0.5,1.0,6048.0,0.5046296296296297,3052.0
25,22.0,0.5454545454545454,12.0,97.0,0.5154639175257731,50.0,118.0,0.4576271186440678,54.0,5693.0,0.4979799754083963,2835.0,19.0,0.7894736842105263,15.0
26,42.0,0.47619047619047616,20.0,,,,420.0,0.5166666666666667,217.0,1652.0,0.5006053268765133,827.0,140.0,0.4785714285714286,67.0
27,2.0,0.5,1.0,3.0,0.6666666666666666,2.0,101.0,0.49504950495049505,50.0,4.0,1.0,4.0,1292.0,0.5185758513931888,670.0
28,2.0,0.0,0.0,4701.0,0.49627738778983194,2333.0,22.0,0.18181818181818182,4.0,,,,28.0,0.6071428571428571,17.0
29,1368.0,0.49853801169590645,682.0,75.0,0.4266666666666667,32.0,12.0,0.4166666666666667,5.0,,,,1.0,1.0,1.0
30,1294.0,0.5533230293663061,716.0,4996.0,0.5272217774219375,2634.0,486.0,0.5041152263374485,245.0,25.0,0.52,13.0,170.0,0.5882352941176471,100.0
31,13.0,0.3076923076923077,4.0,29.0,0.5172413793103449,15.0,112.0,0.41964285714285715,47.0,4.0,0.25,1.0,704.0,0.4772727272727273,336.0
32,3.0,0.0,0.0,219.0,0.45662100456621,100.0,,,,7.0,0.42857142857142855,3.0,3.0,0.3333333333333333,1.0
33,12.0,0.3333333333333333,4.0,175.0,0.41714285714285715,73.0,17.0,0.5294117647058824,9.0,39.0,0.48717948717948717,19.0,224.0,0.4955357142857143,111.0
34,37.0,0.3783783783783784,14.0,,,,833.0,0.4837935174069628,403.0,79.0,0.5316455696202531,42.0,33.0,0.45454545454545453,15.0
35,1.0,1.0,1.0,1467.0,0.5112474437627812,750.0,6.0,0.5,3.0,307.0,0.4755700325732899,146.0,19.0,0.15789473684210525,3.0
36,,,,132.0,0.5151515151515151,68.0,11.0,0.36363636363636365,4.0,5.0,0.4,2.0,211.0,0.44549763033175355,94.0
37,782.0,0.5818414322250639,455.0,1.0,0.0,0.0,28.0,0.6785714285714286,19.0,1186.0,0.4527824620573356,537.0,2.0,0.5,1.0
